UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
The Washington Post,@washingtonpost,2022-07-29T17:56:29.000Z,"Perspective: She just learned that, early in their relationship, her boyfriend talked to his buddy about her chest size vs. his ex-girlfriend's.
washingtonpost.com
Perspective | Carolyn Hax: Boyfriend unfavorably compared her chest size with ex-girlfriend’s
She just learned that, early in their relationship, her boyfriend talked to his buddy about her chest size vs. his ex-girlfriend's.
13
9
26The Washington Post
@washingtonpost
·
Jul 29
Perspective: She just learned that, early in their relationship, her boyfriend talked to his buddy about her chest size vs. his ex-girlfriend's.
washingtonpost.com
Perspective | Carolyn Hax: Boyfriend unfavorably compared her chest size with ex-girlfriend’s
She just learned that, early in their relationship, her boyfriend talked to his buddy about her chest size vs. his ex-girlfriend's.
13
9
26",13,9,26
The Washington Post,@washingtonpost,2022-07-29T17:45:06.000Z,"Perspective: Off the coast of Italy, Nemo’s Garden grows basil, strawberries, lettuce and other greens — a novel type of aquaculture focused on sustainability.
washingtonpost.com
Perspective | This vegetable garden is 25 feet underwater. Take a look.
Just off the coast of Italy, a group of scuba divers are growing basil 25 feet underwater. It's part of a novel type of aquaculture focused on sustainability.
10
23
73The Washington Post
@washingtonpost
·
Jul 29
Perspective: Off the coast of Italy, Nemo’s Garden grows basil, strawberries, lettuce and other greens — a novel type of aquaculture focused on sustainability.
washingtonpost.com
Perspective | This vegetable garden is 25 feet underwater. Take a look.
Just off the coast of Italy, a group of scuba divers are growing basil 25 feet underwater. It's part of a novel type of aquaculture focused on sustainability.
10
23
73",10,23,73
The Washington Post Retweeted,@andrewvandam,2022-07-29T17:33:15.000Z,"New column!

We cranked through more than a half million airbnb listings to create a database that smooshes culture and geography together.

With it, we calculated the most Midwestern things on the planet and learned way the hell too much about ""walleye"".

https://washingtonpost.com/business/2022/07/29/airbnb-the-most-midwestern-things/?itid=ap_andrewvandam…
10
29
75The Washington Post Retweeted",10,29,75
The Washington Post,@washingtonpost,2022-07-29T17:33:01.000Z,"This week, Massachusetts Gov. Charlie Baker (R) signed the state’s version of the CROWN Act, which bans discrimination against natural hairstyles. Twin girls helped pave the way.
washingtonpost.com
Mass. just banned hair discrimination. These twins helped pave the way.
This week, Massachusetts Gov. Charlie Baker (R) signed the state’s version of the CROWN Act, which bans discrimination against natural hairstyles.
22
82
366The Washington Post
@washingtonpost
·
Jul 29
This week, Massachusetts Gov. Charlie Baker (R) signed the state’s version of the CROWN Act, which bans discrimination against natural hairstyles. Twin girls helped pave the way.
washingtonpost.com
Mass. just banned hair discrimination. These twins helped pave the way.
This week, Massachusetts Gov. Charlie Baker (R) signed the state’s version of the CROWN Act, which bans discrimination against natural hairstyles.
22
82
366",22,82,366
The Washington Post,@washingtonpost,2022-07-29T17:27:36.000Z,"Review: Beyoncé is “that girl.” 
washingtonpost.com
Review | Beyoncé’s ‘Renaissance’ was made to last forever
The expansive new album of the pop auteur feels even bigger than her reputation.
22
161
706The Washington Post
@washingtonpost
·
Jul 29
Review: Beyoncé is “that girl.” 
washingtonpost.com
Review | Beyoncé’s ‘Renaissance’ was made to last forever
The expansive new album of the pop auteur feels even bigger than her reputation.
22
161
706",22,161,706
The Washington Post,@washingtonpost,2022-07-29T12:03:29.000Z,"Americans dismayed at the end of Roe are less certain they will vote this fall, Washington Post-Schar School poll finds
washingtonpost.com
Americans dismayed at end of Roe are less certain they will vote, poll finds
Those who support abortion access are less certain they will vote this fall — a sign of the challenges facing Democrats who hope the issue will motivate their base in the midterms.
257
121
170The Washington Post
@washingtonpost
·
Jul 29
Americans dismayed at the end of Roe are less certain they will vote this fall, Washington Post-Schar School poll finds
washingtonpost.com
Americans dismayed at end of Roe are less certain they will vote, poll finds
Those who support abortion access are less certain they will vote this fall — a sign of the challenges facing Democrats who hope the issue will motivate their base in the midterms.
257
121
170",257,121,170
The Washington Post,@washingtonpost,2022-07-29T12:00:22.000Z,"Where do you stand financially? Get a score on this quiz — and our advice.
washingtonpost.com
Where do you stand financially? Get a score on this quiz — and our advice.
Recession, inflation, mortgage rates and gas prices: Answer these questions to see how these major economic factors will impact your life.
6
10
15The Washington Post
@washingtonpost
·
Jul 29
Where do you stand financially? Get a score on this quiz — and our advice.
washingtonpost.com
Where do you stand financially? Get a score on this quiz — and our advice.
Recession, inflation, mortgage rates and gas prices: Answer these questions to see how these major economic factors will impact your life.
6
10
15",6,10,15
The Washington Post,@washingtonpost,2022-07-29T11:55:07.000Z,"Friday briefing: 

-The U.S. economy shrank again — and experts are still confused.
-There’s catastrophic flooding in eastern Kentucky.
-Democrats’ new spending deal would have a huge impact on American life.
washingtonpost.com
Friday briefing: A confusing economy; Kentucky flooding; Democrats’ climate bill; Mega Millions;...
Catch up in minutes with these 7 stories.
8
17
48The Washington Post
@washingtonpost
·
Jul 29
Friday briefing: 

-The U.S. economy shrank again — and experts are still confused.
-There’s catastrophic flooding in eastern Kentucky.
-Democrats’ new spending deal would have a huge impact on American life.
washingtonpost.com
Friday briefing: A confusing economy; Kentucky flooding; Democrats’ climate bill; Mega Millions;...
Catch up in minutes with these 7 stories.
8
17
48",8,17,48
The Washington Post,@washingtonpost,2022-07-29T11:30:13.000Z,"Alito dismisses foreign criticism of Supreme Court’s abortion ruling
washingtonpost.com
Alito dismisses foreign criticism of Supreme Court’s abortion ruling
Justice Samuel Alito for the first time publicly spoke about the decision he authored reversing the constitutional right to abortion.
174
56
111The Washington Post
@washingtonpost
·
Jul 29
Alito dismisses foreign criticism of Supreme Court’s abortion ruling
washingtonpost.com
Alito dismisses foreign criticism of Supreme Court’s abortion ruling
Justice Samuel Alito for the first time publicly spoke about the decision he authored reversing the constitutional right to abortion.
174
56
111",174,56,111
The Washington Post,@washingtonpost,2022-07-29T11:02:02.000Z,"Four-time Formula One champ Sebastian Vettel to retire at end of season
washingtonpost.com
Four-time Formula One champ Sebastian Vettel to retire at end of season
The youngest driver to win a title will leave the sport at the end of the 2022 season, when his contract with Aston Martin concludes.
8
15
61The Washington Post
@washingtonpost
·
Jul 29
Four-time Formula One champ Sebastian Vettel to retire at end of season
washingtonpost.com
Four-time Formula One champ Sebastian Vettel to retire at end of season
The youngest driver to win a title will leave the sport at the end of the 2022 season, when his contract with Aston Martin concludes.
8
15
61",8,15,61
