The New York Times;@nytimes;2021-12-05T16:00:05.000Z;He Never Touched the Murder Weapon. Alabama Sentenced Him to Die. Nathaniel Woods was unarmed when three Birmingham police officers were fatally shot by someone else in 2004. But Woods, a Black man, was convicted of capital murder for his role in the deaths of the...;70;463
The New York Times;@nytimes;2021-12-05T16:04:45.000Z;In Alabama, a Death Sentence for a Man Who Never Pulled the Trigger A New York Times documentary examines the case of Nathaniel Woods, who was sentenced to death for his role in the murders of three Birmingham police officers fatally shot by someone else.;13;54
The New York Times;@nytimes;2021-12-05T12:20:03.000Z;Inside a Terrarium, It’s Always Gardening Season As winter closes in, there’s at least one place where plants will still grow: a terrarium. Here’s how to get started on yours.;33;61
The New York Times;@nytimes;2021-12-05T11:20:04.000Z;Why Does Coffee Make Me Poop? It’s not clear why coffee can stimulate a bowel movement, but the speed of this effect suggests it’s mediated by the brain.;78;186
The New York Times;@nytimes;2021-12-05T10:21:06.000Z;How to Carry Your Covid Health Data on a Smartphone To plan for safe travels and gatherings this holiday season, here are some simple ways to take your Covid-related health data with you.;39;42
The New York Times;@nytimes;2021-12-05T09:50:06.000Z;Opinion | Is Holiday Gift-Giving Really Worth It? December’s materialism can feel perfunctory.;63;95
The New York Times;@nytimes;2021-12-05T09:50:04.000Z;The New Rules for Hosting That Holiday Party If the 2020 holiday season was the year to cancel everything, 2021 is about figuring out how to get our groove back.;18;32
The New York Times;@nytimes;2021-12-05T09:20:04.000Z;Are My Stomach Problems Really All in My Head? Scientists often debate whether irritable bowel syndrome is a mental or physical issue. That’s not much help for those who suffer from it.;15;68
The New York Times;@nytimes;2021-12-05T08:50:06.000Z;With Omicron Comes Uncertainty. Here’s How to Handle It. Experts share techniques to ease the mental toll of an evolving pandemic.;53;61
The New York Times;@nytimes;2021-12-05T08:20:03.000Z;It’s Always Sunny With Rob McElhenney The FXX series “It’s Always Sunny in Philadelphia” is about to become the longest-running live-action sitcom in U.S. history. Its energetic star and creator wants to know what’s next.;26;38
The New York Times;@nytimes;2021-12-05T07:50:04.000Z;Colton Underwood Comes Out and Comes Clean The former “Bachelor” star announced he is gay on national TV in April. A new Netflix reality series seeks to share his journey and address the criticism.;72;58
The New York Times;@nytimes;2021-12-05T02:20:06.000Z;A Brief Guide to Every Sport at the Winter Olympics From Alpine skiing to speedskating, and everything in between: Here are all the sports that are part of the Beijing Games in 2022.;58;69
The New York Times;@nytimes;2021-12-05T01:50:02.000Z;Palestinian Who Stabs Israeli in East Jerusalem Is Killed by Police The incident, captured in videos, was at least the fifth such knife attack in Jerusalem since September.;92;61
The New York Times;@nytimes;2021-12-05T01:20:03.000Z;5 Minutes That Will Make You Love the Organ Listen to the biggest, loudest, most extravagant (yet incredibly subtle) instrument of them all.;20;33
The New York Times;@nytimes;2021-12-05T01:00:16.000Z;The Best Electronics Kits for Kids and Beginners We tested electronics kits with kids ages 7 to 12 and got feedback from parents and makers to find the most engaging ways for kids to learn about electronics.;15;32
The New York Times;@nytimes;2021-12-05T00:50:05.000Z;Painter of Elijah Cummings Portrait Finds It’s a Career-Changer The Baltimore artist Jerrell Gibbs was commissioned to paint Maryland’s late Representative. The official portrait will be installed at the U.S. Capitol.;17;84
The New York Times;@nytimes;2021-12-05T00:20:05.000Z;The Gator Finds a Place at the Tailgate Alligator, long a food source for Louisianians, has become more popular nationally. But its big moment comes at an annual football matchup in Baton Rouge.;38;57
The New York Times;@nytimes;2021-12-04T23:50:03.000Z;Sharing Hard-Won Money Lessons to Build Generational Wealth Wanting to help others in their communities, influencers of color who taught themselves how to pay off big debts and invest have developed audiences for their experience and advice.;45;90
The New York Times;@nytimes;2021-12-04T19:26:18.000Z;Black Man Wins New Trial Over Confederate Memorabilia in Jury Room A Tennessee appeals court granted Tim Gilbert a new trial after jurors deliberated in a room named after the United Daughters of the Confederacy.;26;45
The New York Times;@nytimes;2021-12-04T19:15:05.000Z;Best TV Shows of 2021 From Bo Burnham to “We Are Lady Parts,” the best in television this year offered ingenuity, humor, defiance and hope.;4;23
The New York Times;@nytimes;2021-12-04T19:00:34.000Z;How ‘Shadow’ Foster Care Is Tearing Families Apart Across the country, an unregulated system is severing parents from children, who often end up abandoned by the agencies that are supposed to protect them.;30;113
The New York Times;@nytimes;2021-12-04T18:45:10.000Z;"Around her house, Samantha Lewis has posted cards scrawled with steps reminding how to do tasks in her daily life. It is one of many strategies Lewis, 34, has learned from ""cognitive rehab,"" an intensive therapy program to fight the symptoms of long Covid.";27;68
The New York Times Retweeted;@NYTArchives;2021-12-04T15:00:16.000Z;To celebrate Hanukkah in 1977, workers put the finishing touches on the first giant New York City menorah at Grand Army Plaza. The first candle was lit on the 30-by-20-foot menorah the following Sunday, just after dusk. #nytarchives #hanukkah;9;49
The New York Times;@nytimes;2021-12-04T18:20:05.000Z;‘The Power of the Dog’ Review: Wild Hearts on a Closed Frontier In Jane Campion’s staggering take on the western, her first movie in more than a decade, a cruel cowboy meets his surprising match.;37;79
The New York Times;@nytimes;2021-12-04T18:10:06.000Z;U.S. Intelligence Sees Russian Plan for Possible Ukraine Invasion An invasion force could include 175,000 troops, but U.S. officials stress that President Vladimir V. Putin’s intentions remain unclear.;88;191
