UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
Bloomberg,@business,2021-12-27T14:57:03.000Z,"India has barred the Missionaries of Charity, the Catholic religious order and philanthropic organization started by Mother Teresa, from accessing foreign donations for not meeting eligibility conditions under local laws
bloomberg.com
Mother Teresa’s Charity Barred From Receiving Foreign Funds
5
21
33Bloomberg
@business
·
3h
India has barred the Missionaries of Charity, the Catholic religious order and philanthropic organization started by Mother Teresa, from accessing foreign donations for not meeting eligibility conditions under local laws
bloomberg.com
Mother Teresa’s Charity Barred From Receiving Foreign Funds
5
21
33",5,21,33
Bloomberg,@business,2021-12-27T14:49:05.000Z,"E.O. Wilson, the former Harvard University biologist and Pulitzer Prize winner, has died. He was 92
bloomberg.com
E.O. Wilson, Known as ‘Father of Biodiversity,’ Dies at 92
E.O. Wilson, the former Harvard University biologist and Pulitzer Prize winner whose study of ants and human behavior made him one of the world’s most influential scientists and prompted his calls...
4
39
62Bloomberg
@business
·
3h
E.O. Wilson, the former Harvard University biologist and Pulitzer Prize winner, has died. He was 92
bloomberg.com
E.O. Wilson, Known as ‘Father of Biodiversity,’ Dies at 92
E.O. Wilson, the former Harvard University biologist and Pulitzer Prize winner whose study of ants and human behavior made him one of the world’s most influential scientists and prompted his calls...
4
39
62",4,39,62
Bloomberg,@business,2021-12-27T14:40:08.000Z,"Indonesia is building a hospital that will be run in partnership with U.S.-based Mayo Clinic as part of a bid to recoup $7 billion in outbound medical tourism
bloomberg.com
Jokowi Builds Hospital to Recoup $7 Billion in Medical Tourism
Indonesia is building a hospital that will be run in partnership with U.S.-based Mayo Clinic as part of a bid to recoup $7 billion in outbound medical tourism.
1
19
38Bloomberg
@business
·
4h
Indonesia is building a hospital that will be run in partnership with U.S.-based Mayo Clinic as part of a bid to recoup $7 billion in outbound medical tourism
bloomberg.com
Jokowi Builds Hospital to Recoup $7 Billion in Medical Tourism
Indonesia is building a hospital that will be run in partnership with U.S.-based Mayo Clinic as part of a bid to recoup $7 billion in outbound medical tourism.
1
19
38",1,19,38
Bloomberg Retweeted,@luxury,2021-12-27T14:37:06.000Z,"New York City’s museums, concerts and Broadway shows are desperately trying to keep their doors open despite a surge in Covid-19 cases
bloomberg.com
NYC’s Covid Surge Overtakes Broadway Shows, Museums Trying to Stay Open
New York City’s museums, concerts and Broadway theaters are desperately trying to keep their doors open amid a surge in Covid-19 cases, but the onslaught is overwhelming a tourism industry that had...
3
8
17Bloomberg Retweeted",3,8,17
Bloomberg,@business,2021-12-27T14:28:05.000Z,"Microsoft and Salesforce are vying with software startups to help businesses improve customer service, targeting once-backwater call centers and creating a new way to seamlessly communicate with consumers
bloomberg.com
Microsoft, Salesforce Battle to Revitalize Customer Service
Once-backwater call centers seen as ‘gold mine’ for software makers
4
10
47Bloomberg
@business
·
4h
Microsoft and Salesforce are vying with software startups to help businesses improve customer service, targeting once-backwater call centers and creating a new way to seamlessly communicate with consumers
bloomberg.com
Microsoft, Salesforce Battle to Revitalize Customer Service
Once-backwater call centers seen as ‘gold mine’ for software makers
4
10
47",4,10,47
Bloomberg,@business,2021-12-27T14:27:03.000Z,"Venus Aerospace wants to get passengers anywhere in an hour by rocketing them to the edge of the atmosphere https://trib.al/eXT40vm via 
@BW
bloomberg.com
Space Plane Startup Promises One-Hour Rides to Anywhere on Earth
Venus Aerospace is building a passenger aircraft that can hit 12 times the speed of sound.
5
10
15Bloomberg
@business
·
4h
Venus Aerospace wants to get passengers anywhere in an hour by rocketing them to the edge of the atmosphere https://trib.al/eXT40vm via 
@BW
bloomberg.com
Space Plane Startup Promises One-Hour Rides to Anywhere on Earth
Venus Aerospace is building a passenger aircraft that can hit 12 times the speed of sound.
5
10
15",5,10,15
Bloomberg,@business,2021-12-27T14:21:04.000Z,"Didi Global shares are falling Monday after the Financial Times reported that current and former employees of the Chinese ride-hailing giant have been banned from selling the stock
bloomberg.com
Didi Shares Slump After Insiders Blocked From Selling Stock
3
14
20Bloomberg
@business
·
4h
Didi Global shares are falling Monday after the Financial Times reported that current and former employees of the Chinese ride-hailing giant have been banned from selling the stock
bloomberg.com
Didi Shares Slump After Insiders Blocked From Selling Stock
3
14
20",3,14,20
Bloomberg,@business,2021-12-27T13:49:04.000Z,"A series of developments in Japan is raising new concerns about xenophobia in Asia’s second-largest economy
bloomberg.com
Xenophobia Spills Into Japan’s Covid-Era Debate on Immigration
Aging nation has sought to fill gaps with foreign workers
1
13
24Bloomberg
@business
·
4h
A series of developments in Japan is raising new concerns about xenophobia in Asia’s second-largest economy
bloomberg.com
Xenophobia Spills Into Japan’s Covid-Era Debate on Immigration
Aging nation has sought to fill gaps with foreign workers
1
13
24",1,13,24
Bloomberg,@business,2021-12-27T13:27:04.000Z,"Left out of early vaccine trials and faced with confusing messages and misinformation on the dangers to their unborn children, a disproportionately large number of pregnant women have steered clear of Covid shots
bloomberg.com
Pregnant Women Come Last: When Vaccine Doubts Prove Fatal
Here’s the latest news from the pandemic.
6
9
16Bloomberg
@business
·
5h
Left out of early vaccine trials and faced with confusing messages and misinformation on the dangers to their unborn children, a disproportionately large number of pregnant women have steered clear of Covid shots
bloomberg.com
Pregnant Women Come Last: When Vaccine Doubts Prove Fatal
Here’s the latest news from the pandemic.
6
9
16",6,9,16
Bloomberg,@business,2021-12-27T13:26:04.000Z,"Boss want you back in the office? Here’s how to keep a hybrid arrangement beneficial to everyone https://trib.al/3fmyNB3 via 
@BW
bloomberg.com
Four Ways to Keep Working From Home When the Boss Wants You Back
Managing a hybrid schedule requires more care as companies start to ask employees to return to the office.
3
12
25Bloomberg
@business
·
5h
Boss want you back in the office? Here’s how to keep a hybrid arrangement beneficial to everyone https://trib.al/3fmyNB3 via 
@BW
bloomberg.com
Four Ways to Keep Working From Home When the Boss Wants You Back
Managing a hybrid schedule requires more care as companies start to ask employees to return to the office.
3
12
25",3,12,25
