,username,handle,postdate,text,reply_cnt,retweet_cnt,Cleaned_sentences,pos_tags,senti_score,Overall Sentiment,ClusterName
226,The New York Times,@nytimes,2021-12-01T03:00:05.000Z,"How do you pronounce ""Omicron"" anyway? There is no single, agreed-on English pronunciation, experts say.",362,565,pronounce omicron anyway single agreed english pronunciation experts say,"[('pronounce', 'NN'), ('omicron', 'MD'), ('anyway', 'RB'), ('single', 'JJ'), ('agreed', 'VBD'), ('english', 'JJ'), ('pronunciation', 'NN'), ('experts', 'NNS'), ('say', 'VBP')]",0.125,Positive,1
227,The New York Times,@nytimes,2021-12-01T02:30:09.000Z,"Omicron Variant, in at Least 20 Nations, Spread Earlier Than Was Known With evidence growing that a worrisome new coronavirus variant is highly contagious, health officials issued warnings that vulnerable people should not travel.",51,116,omicron variant least nations spread earlier known evidence growing worrisome new coronavirus variant highly contagious health officials issued warnings vulnerable people travel,"[('omicron', 'NN'), ('variant', 'NN'), ('least', 'JJS'), ('nations', 'NNS'), ('spread', 'VBP'), ('earlier', 'JJR'), ('known', 'VBN'), ('evidence', 'NN'), ('growing', 'VBG'), ('worrisome', 'JJ'), ('new', 'JJ'), ('coronavirus', 'NN'), ('variant', 'NN'), ('highly', 'RB'), ('contagious', 'JJ'), ('health', 'NN'), ('officials', 'NNS'), ('issued', 'VBD'), ('warnings', 'NNS'), ('vulnerable', 'JJ'), ('people', 'NNS'), ('travel', 'VBP')]",1.375,Positive,1
228,The New York Times,@nytimes,2021-12-01T02:15:05.000Z,"‘No one should be afraid to go to school,’ Michigan’s governor says. Gov. Gretchen Whitmer said a school shooting in Michigan ‘is every parent’s worst nightmare.’",52,149,one afraid go school michigan governor says gov gretchen whitmer said school shooting michigan every parent worst nightmare,"[('one', 'CD'), ('afraid', 'NN'), ('go', 'VB'), ('school', 'NN'), ('michigan', 'RB'), ('governor', 'NN'), ('says', 'VBZ'), ('gov', 'NN'), ('gretchen', 'NN'), ('whitmer', 'NN'), ('said', 'VBD'), ('school', 'NN'), ('shooting', 'VBG'), ('michigan', 'NN'), ('every', 'DT'), ('parent', 'NN'), ('worst', 'JJS'), ('nightmare', 'NN')]",-0.625,Negative,2
229,The New York Times,@nytimes,2021-12-01T02:00:06.000Z,The Biden administration is said to be looking at ways to toughen coronavirus testing and screening of people flying to the U.S. as concerns about the Omicron variant continue to grow.,51,62,biden administration said looking ways toughen coronavirus testing screening people flying u concerns omicron variant continue grow,"[('biden', 'JJ'), ('administration', 'NN'), ('said', 'VBD'), ('looking', 'VBG'), ('ways', 'NNS'), ('toughen', 'VBP'), ('coronavirus', 'NN'), ('testing', 'VBG'), ('screening', 'VBG'), ('people', 'NNS'), ('flying', 'VBG'), ('u', 'JJ'), ('concerns', 'NNS'), ('omicron', 'MD'), ('variant', 'VB'), ('continue', 'NN'), ('grow', 'NN')]",0.625,Positive,1
230,The New York Times,@nytimes,2021-12-01T01:50:01.000Z,"After 110 Years, an Overdue Book Is Returned to a Library in Idaho It’s unclear who checked out “New Chronicles of Rebecca” by Kate Douglas Wiggin from a library in Boise, or who had it all these decades. But the book remained in immaculate shape.",37,170,years overdue book returned library idaho unclear checked new chronicles rebecca kate douglas wiggin library boise decades book remained immaculate shape,"[('years', 'NNS'), ('overdue', 'JJ'), ('book', 'NN'), ('returned', 'VBD'), ('library', 'JJ'), ('idaho', 'NN'), ('unclear', 'JJ'), ('checked', 'VBD'), ('new', 'JJ'), ('chronicles', 'NNS'), ('rebecca', 'VBP'), ('kate', 'VB'), ('douglas', 'NNS'), ('wiggin', 'VBP'), ('library', 'JJ'), ('boise', 'NN'), ('decades', 'NNS'), ('book', 'NN'), ('remained', 'VBD'), ('immaculate', 'JJ'), ('shape', 'NN')]",0.875,Positive,1
231,The New York Times,@nytimes,2021-12-01T00:40:03.000Z,A Times editor who attended Oxford recalls a decade-old shooting drill. Three teenage students were killed on Tuesday in the school district I graduated from.,14,41,times editor attended oxford recalls decade old shooting drill three teenage students killed tuesday school district graduated,"[('times', 'NNS'), ('editor', 'NN'), ('attended', 'VBD'), ('oxford', 'NN'), ('recalls', 'NNS'), ('decade', 'NN'), ('old', 'JJ'), ('shooting', 'NN'), ('drill', 'NN'), ('three', 'CD'), ('teenage', 'NN'), ('students', 'NNS'), ('killed', 'VBD'), ('tuesday', 'JJ'), ('school', 'NN'), ('district', 'NN'), ('graduated', 'VBD')]",1.125,Positive,2
232,The New York Times,@nytimes,2021-12-01T00:30:09.000Z,Detectives Work to Trace How Live Rounds Got on ‘Rust’ Film Set Investigators are trying to determine whether a supplier who was supposed to provide the movie with blanks and dummies may have sent live rounds.,19,36,detectives work trace live rounds got rust film set investigators trying determine whether supplier supposed provide movie blanks dummies may sent live rounds,"[('detectives', 'NNS'), ('work', 'VBP'), ('trace', 'RB'), ('live', 'JJ'), ('rounds', 'NNS'), ('got', 'VBD'), ('rust', 'JJ'), ('film', 'NN'), ('set', 'VBN'), ('investigators', 'NNS'), ('trying', 'VBG'), ('determine', 'NN'), ('whether', 'IN'), ('supplier', 'NN'), ('supposed', 'VBN'), ('provide', 'RB'), ('movie', 'NN'), ('blanks', 'NNS'), ('dummies', 'NNS'), ('may', 'MD'), ('sent', 'VB'), ('live', 'JJ'), ('rounds', 'NNS')]",1.0,Positive,0
233,The New York Times,@nytimes,2021-12-01T00:00:09.000Z,"School shootings are becoming more frequent, after a lull during the pandemic. The deadly gunfire in Oxford, Mich., added one more episode to a growing list of fatal shootings on school property in the United States this year.",83,192,school shootings becoming frequent lull pandemic deadly gunfire oxford mich added one episode growing list fatal shootings school property united states year,"[('school', 'NN'), ('shootings', 'NNS'), ('becoming', 'VBG'), ('frequent', 'JJ'), ('lull', 'JJ'), ('pandemic', 'NN'), ('deadly', 'RB'), ('gunfire', 'VBD'), ('oxford', 'NN'), ('mich', 'NN'), ('added', 'VBD'), ('one', 'CD'), ('episode', 'NN'), ('growing', 'VBG'), ('list', 'JJ'), ('fatal', 'JJ'), ('shootings', 'NNS'), ('school', 'NN'), ('property', 'NN'), ('united', 'JJ'), ('states', 'NNS'), ('year', 'NN')]",-0.375,Negative,2
234,The New York Times,@nytimes,2021-11-30T23:45:08.000Z,California’s Ban on High-Capacity Magazines Is Restored by Appeals Court The overturning of a district judge’s decision may also lead to the reinstatement of a state ban on semiautomatic weapons.,65,154,california ban high capacity magazines restored appeals court overturning district judge decision may also lead reinstatement state ban semiautomatic weapons,"[('california', 'NN'), ('ban', 'NN'), ('high', 'JJ'), ('capacity', 'NN'), ('magazines', 'NNS'), ('restored', 'VBD'), ('appeals', 'NNS'), ('court', 'NN'), ('overturning', 'VBG'), ('district', 'NN'), ('judge', 'NN'), ('decision', 'NN'), ('may', 'MD'), ('also', 'RB'), ('lead', 'VB'), ('reinstatement', 'NN'), ('state', 'NN'), ('ban', 'NN'), ('semiautomatic', 'JJ'), ('weapons', 'NNS')]",0.125,Positive,0
235,The New York Times Retweeted,@grynbaum,2021-11-30T23:26:43.000Z,CNN Suspends Chris Cuomo After Details Emerge on the Help He Gave His Brother The cable news network’s top-rated anchor was an enthusiastic adviser to Andrew Cuomo in the last 18 months of his governorship.,21,48,cnn suspends chris cuomo details emerge help gave brother cable news network top rated anchor enthusiastic adviser andrew cuomo last months governorship,"[('cnn', 'NN'), ('suspends', 'VBZ'), ('chris', 'JJ'), ('cuomo', 'NN'), ('details', 'NNS'), ('emerge', 'VBP'), ('help', 'NN'), ('gave', 'VBD'), ('brother', 'RBR'), ('cable', 'NN'), ('news', 'NN'), ('network', 'NN'), ('top', 'NN'), ('rated', 'VBN'), ('anchor', 'JJ'), ('enthusiastic', 'JJ'), ('adviser', 'NN'), ('andrew', 'VBD'), ('cuomo', 'JJ'), ('last', 'JJ'), ('months', 'NNS'), ('governorship', 'NN')]",0.875,Positive,0
